TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2091861	AT3G20810	protein_coding	JMJD5 encodes a protein which contains  a jumonji-C (jmjC) domain. jmjd5 mutant plants have a short-period circadian phenotype. JMJD5 has histone demethylase activity and interacts with EFM to repress FT.	JMJ30;JMJD5;Jumonji C domain-containing protein 30;jumonji domain containing 5	circadian rhythm;primary root development;regulation of circadian rhythm;regulation of seedling development;response to abscisic acid;epigenetic regulation of gene expression;callus formation;epigenetic regulation of gene expression;negative regulation of gene expression, epigenetic;regulation of abscisic acid-activated signaling pathway;regulation of brassinosteroid mediated signaling pathway;regulation of circadian rhythm;regulation of gene expression;regulation of photoperiodism, flowering;response to abscisic acid;response to brassinosteroid;response to temperature stimulus;temperature compensation of the circadian clock;cytoplasm;endoplasmic reticulum;nucleus;euchromatin;2-oxoglutarate-dependent dioxygenase activity;DNA-binding transcription factor activity;histone H3K27me2/H3K27me3 demethylase activity;histone H3K27me3 reader activity;histone H3K36 methyltransferase activity;histone H3K9me2/H3K9me3 demethylase activity;protein binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2081937	AT3G60250	protein_coding	Regulatory (beta) subunit of the protein kinase CK2. Involved in regulation of the circadian clock in Arabidopsis	CKB3;casein kinase II  beta chain 3	regulation of circadian rhythm;regulation of protein kinase activity;cytoplasm;cytosol;nucleus;protein kinase CK2 complex;protein binding;protein kinase regulator activity;transcription factor binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2184251	AT5G28770	protein_coding	BASIC LEUCINE ZIPPER protein which regulates the circadian oscillator gene PSEUDO RESPONSE REGULATOR7 (PRR7) to change the circadian phase in response to sugars. It upregulates PRR7 in response to low energy. bZIP63 and PRR7 are required for correct oscillator phase under light/dark cycles. bZIP protein BZO2H3 mRNA; partial cds	Arabidopsis thaliana basic leucine zipper 63;AtbZIP63;BZIP63;BZO2H3	cellular response to abscisic acid stimulus;cellular response to glucose stimulus;entrainment of circadian clock;cellular response to glucose stimulus;cellular response to starvation;regulation of DNA-templated transcription;nucleus;nucleus;DNA-binding transcription factor activity;identical protein binding;kinase binding;protein binding;protein heterodimerization activity;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2043520	AT2G25930	protein_coding	Encodes a nuclear protein that is expressed rhythmically and interacts with phytochrome B to control plant development and flowering through a signal transduction pathway. Required component of the core circadian clock regardless of light conditions.	EARLY FLOWERING 3;ELF3;PYK20	circadian rhythm;circumnutation;photoperiodism, flowering;red, far-red light phototransduction;regulation of flower development;regulation of stomatal movement;response to abscisic acid;response to auxin;response to cold;unidimensional cell growth;entrainment of circadian clock;negative regulation of transcription by RNA polymerase II;photoperiodism, flowering;regulation of flower development;nucleus;nucleus;transcription regulator complex;DNA-binding transcription factor activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2044376	AT2G46790	protein_coding	Pseudo-response regulator PRR9. Involved in clock function. PRR7 and PRR9 are partially redundant essential components of a temperature-sensitive circadian system. CCA1 and LHY had a positive effect on PRR9. Interact with TOC1 in a yeast two-hybrid assay. Acts as transcriptional repressor of CCA1 and LHY.  Acts additively with EC; PRR5 and PRR7 to regulate hypocotyl growth under photoperiodic conditions.	APRR9;ARABIDOPSIS PSEUDO-RESPONSE REGULATOR 9;PRR9;PSEUDO-RESPONSE REGULATOR 9;TL1;TOC1-LIKE PROTEIN 1	circadian rhythm;negative regulation of DNA-templated transcription;red or far-red light signaling pathway;regulation of DNA-templated transcription;response to temperature stimulus;circadian rhythm;red or far-red light signaling pathway;regulation of DNA-templated transcription;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;sequence-specific DNA binding;guard cell,
Locus:2164160	AT5G60100	protein_coding	Encodes pseudo-response regulator 3 (APRR3/PRR3). PRR3 transcript levels vary in a circadian pattern with peak expression at dusk under long and short day conditions. PRR3 affects the period of the circadian clock and seedlings with reduced levels of PRR3 have shorter periods; based on transcriptional assays of clock-regulated genes. PRR3 is expressed in the vasculature of cotyledons and leaves where it may help stabilize the TOC1 protein by preventing interactions between TOC1 and the F-box protein ZTL.	APRR3;PRR3;PSEUDO-RESPONSE REGULATOR 3;pseudo-response regulator 3	circadian rhythm;regulation of DNA-templated transcription;regulation of circadian rhythm;phosphorylation;circadian rhythm;red or far-red light signaling pathway;regulation of DNA-templated transcription;nucleus;nucleus;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cotyledon vascular system;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;leaf vascular system;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;root,
Locus:2184007	AT5G24470	protein_coding	Encodes a pseudo-response regulator whose mutation affects various circadian-associated biological events such as flowering time in the long-day photoperiod conditions; red light sensitivity of seedlings during early photomorphogenesis, and the period of free-running rhythms of certain clock-controlled genes including CCA1 and APRR1/TOC1 in constant white light. Acts as transcriptional repressor of CCA1 and LHY. Acts additively with EC, PRR7 and PRR9 to regulate hypocotyl growth under photoperiodic conditions.	APRR5;PRR5;PSEUDO-RESPONSE REGULATOR 5;pseudo-response regulator 5	circadian rhythm;import into nucleus;negative regulation of DNA-templated transcription;photomorphogenesis;regulation of DNA-templated transcription;response to far red light;response to red light;circadian rhythm;red or far-red light signaling pathway;regulation of DNA-templated transcription;response to red light;response to water deprivation;nucleus;intracellular anatomical structure;nucleus;DNA binding;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2047047	AT2G21070	protein_coding	This gene is predicted to an encode a nuclear-localized protein that is involved in regulating the period of circadian rhythms without affecting their amplitude or robustness. FIONA1 seems to act as a central oscillator-associated component; but its transcript levels are not regulated in a circadian or light-dependent manner. FIONA1 also appears to be involved in photoperiod-dependent flowering.	FIO1;FIONA1	circadian rhythm;photoperiodism;photoperiodism, flowering;rRNA base methylation;nucleus;cytoplasm;nucleus;23S rRNA (adenine(1618)-N(6))-methyltransferase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2121870	AT4G24500	protein_coding	Encodes a proline-rich protein SICKLE (SIC). Required for development and abiotic stress tolerance. Involved in microRNA biogenesis. It is involved in mRNA splicing. It is a single copy gene in Arabidopsis and likely specific to land plants. Along with RCN1; it functions in regulating auxin transport processes in part by regulating the recycling of PIN1 and PIN2 auxin transporters. It is required for circadian clock temperature responses.	RON3;ROTUNDA3;SIC;SICKLE;WARP ACUTE RESPONSE OF PRR7 2;WARP2	alternative mRNA splicing, via spliceosome;circadian rhythm;entrainment of circadian clock;mRNA splicing, via spliceosome;miRNA processing;protein localization involved in auxin polar transport;regulation of alternative mRNA splicing, via spliceosome;regulation of auxin polar transport;response to cold;response to salt stress;alternative mRNA splicing, via spliceosome;miRNA processing;regulation of auxin polar transport;siRNA processing;cytosol;nuclear body;plasma membrane;cytosol;nuclear body;nucleus;plasma membrane;nucleolus;protein binding;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;apical meristem;carpel;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;lateral root primordium;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;root apical meristem;root cortex;root elongation zone;root epidermis;seed;sepal;shoot axis apex;stem;vascular leaf;vascular leaf primordium;vascular system;whole plant,
Locus:2172994	AT5G57360	protein_coding	Encodes clock-associated PAS protein ZTL; Also known as FKF1-like protein 2 or ADAGIO1(ADO1). A protein containing a PAS domain  ZTL contributes to the plant fitness (carbon fixation; biomass) by influencing the circadian clock period. ZTL is the F-box component of an SCF complex implicated in the degradation of TOC1.	ADAGIO 1;ADO1;FKF1-LIKE PROTEIN 2;FKL2;LKP1;LOV KELCH PROTEIN 1;ZEITLUPE;ZTL	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;circadian rhythm;entrainment of circadian clock by photoperiod;flower development;proteasomal protein catabolic process;regulation of circadian rhythm;response to red light;ubiquitin-dependent protein catabolic process;regulation of circadian rhythm;response to blue light;cytosol;nucleus;cytosol;nucleus;SCF ubiquitin ligase complex;blue light photoreceptor activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:505006713	AT5G64813	protein_coding	The LIP1 gene encodes a small GTPase that influences the light input pathway of the plant circadian network. An MBP:LIP1 fusion protein has GTP hydrolyzing abilities in vitro. In plants; LIP1 seems to play a negative role in regulating circadian period that can be suppressed by light. LIP1 also seems to negatively affect light-pulse-dependent resetting of the clock, especially during the first portion of the subjective evening. LIP1 expression levels are not significantly affected by the circadian clock in seedlings grown under LL conditions. The levels of the YFP:LIP1 protein expressed under the control of the 35S promoter, shows a low amplitude variation, with protein levels peaking near the beginning of subjective night under LL conditions. In hypocotyl epidermal cells of dark and light-grown seedlings, a YFP:LIP1 fusion protein can be seen in the cytoplasm and the nucleus, and does not cluster in nuclear speckles. LIP1 may also be involved in photomorphogenesis.	LIP1;Light Insensitive Period1	circadian regulation of gene expression;photomorphogenesis;intracellular protein transport;endomembrane system;cytoplasm;nucleus;GTPase activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
